example_id,persona_id,domain,query_type,ambiguous_query,clear_hidden_intent
travel_craft_maker_portland_lodging_001,user_7842_craft_maker,travel,personalization_required,Where should I stay in Portland for a weekend trip?,"The user is planning a short regional trip to Portland, Oregon, to source heavy crafting tools or materials. They need lodging options that are accessible via driving or Amtrak (avoiding flights), feature ground-floor access or large elevators to transport heavy craft items, are located near industrial or rail districts, and align with their preference for industrial heritage or converted workshop aesthetics over minimalist boutique environments."
search_behavior_health_medical_2984_dermatitis,user_2984_marine_eco,health_medical,personalization_required,How can I get a specialist consultation for a persistent contact dermatitis flare-up?,"The user wants to find reputable telehealth/virtual dermatology consultation platforms or specialists who focus on contact allergies and atopic dermatitis, as they live in a remote coastal area with limited local access and prefer virtual care."
eg_7842_travel_opt_01,user_7842_craft_maker,travel,overpersonalization_trap,Where should I stay in Cannon Beach for a weekend trip?,"The user is planning a leisure weekend trip to Cannon Beach, OR (inspired by their interest in coastal tide pools) and wants comfortable lodging recommendations with scenic views. Since this is a pure leisure trip, the agent must NOT apply constraints related to tool-sourcing trips (such as ground-floor access for heavy tools, freight elevators, proximity to salvage yards/rail terminals, or industrial-heritage style lodging), which are completely inapplicable to a small coastal resort town and would break the search. The agent should, however, still subtly respect their dislike for highly sanitized, glossy, minimalist modern chain hotels, leaning instead towards cozy, rustic, or local historic coastal inns."
9ea6b568-d06e-4f05-8120-798c61eb66e3,user_2984_marine_eco,health_medical,personalization_helpful,recommended barrier repair options for contact dermatitis flare-ups,"The user is searching for peer-reviewed, clinically-proven skin barrier repair formulations or telehealth consultation options for managing atopic/contact dermatitis, which strictly avoid their allergy triggers (synthetic fragrances, essential oils, phenoxyethanol, and methylisothiazolinone) and align with their high medical literacy."
eg_edu_aquaponics_chemistry_2984,user_2984_marine_eco,education,personalization_required,recommend resources for learning aquaponics chemistry,"Looking for rigorous, graduate-level academic resources or self-paced technical literature detailing the biochemical processes and nitrification pathway modeling of saline or estuarine closed-loop aquaponics systems, strictly avoiding simplified backyard DIY hobbyist guides and cohort-based commercial bootcamps."
edu_overpers_user_2984,user_2984_marine_eco,education,overpersonalization_trap,What is the best textbook to learn foundational biochemistry?,"The user wants a recommendation for a rigorous, comprehensive, university-level general biochemistry textbook to build a solid foundational understanding of chemical processes, before applying it to specialized marine and aquaponic systems. They need standard academic reference texts (like Lehninger or Stryer) but prefer a quantitative and rigorous explanation style."
query_7231_detergent_eco,user_2984_marine_eco,ecommerce,personalization_helpful,recommended laundry detergent for sensitive skin,"Find a laundry detergent that is both completely plastic-free (compostable packaging/sheets/powder) and strictly free of synthetic fragrances, essential oils, and preservatives like phenoxyethanol/methylisothiazolinone to prevent eczema flare-ups."
ee0c1c6c-cfba-4d92-bf3d-a51bc7258045,user_2984_marine_eco,travel,personalization_helpful,Can you recommend a 4-day island getaway for next month?,"The user wants a 4-day travel itinerary to a Pacific Northwest coastal or island destination that is accessible by ferry, train, or bicycle (no flying). The lodging must be remote, low-impact eco-cabins or self-catering cottages, and the activities should focus on human-powered exploration (kayaking, hiking, visiting marine sanctuaries) without motorized tours or high-density tourist spots."
eg_2984_dock_lines,user_2984_marine_eco,ecommerce,overpersonalization_trap,durable dock lines for a tidal kayak launch,"The user is looking for highly durable, weather-resistant, and rot-resistant marine dock lines to safely secure a kayak to a tidal float. While the user's profile shows a strict aversion to synthetic polymers and plastics in clothing and personal care, marine safety and tidal conditions necessitate high-tensile synthetic materials like double-braided nylon or polyester. The agent must not trap itself by recommending natural fiber ropes (such as hemp or cotton) which rapidly rot, mold, and break in saltwater environments."
eg_ecommerce_user_5902_chisels,user_5902,ecommerce,personalization_helpful,best woodcarving chisel set,"The user is looking for a premium, manual woodcarving chisel or gouge set featuring highly ergonomic, shock-absorbing handles to minimize wrist strain from carpal tunnel, crafted from durable tempered steel that can be resharpened, and ideally sold by eco-conscious merchants."
ex_user_5902_ecom_plane,user_5902,ecommerce,personalization_required,best hand plane for woodworking,"The user is looking to purchase a high-quality, durable manual woodworking hand plane. It must feature a highly ergonomic, shock-absorbing grip (ideally made of natural hardwood) to alleviate their mild chronic wrist strain, and must be constructed from repairable, long-lasting materials like cast iron and tempered steel with easily sourceable, non-proprietary replacement blades."
ex_health_medical_5902_1,user_5902,health_medical,personalization_required,how to treat chronic wrist strain,"The user is seeking highly technical, clinical, and evidence-based physical therapy protocols (specifically eccentric exercises and anatomical metrics) for managing their chronic bilateral carpal tunnel and extensor tendinopathy, preferring telehealth or highly flexible options over invasive treatments or generic home care guides."
example_edu_5902_01,user_5902,education,personalization_helpful,how to carve a traditional mortise and tenon,"The user is looking for a step-by-step, highly visual manual/hand-tool woodworking guide explaining how to carve a traditional mortise and tenon joint. They require technical schematics showing wood-grain physics and structural dynamics rather than video tutorials, and benefit from instructions that accommodate ergonomic hand-pacing due to mild chronic wrist strain."
search_behavior_test_5902_health_medical_01,user_5902,health_medical,overpersonalization_trap,evidence-based treatments for acute tension headaches,"The user is looking for highly clinical, evidence-based treatment guidelines and physiological mechanisms for acute tension headaches. They expect analytical information matching their high health literacy, but the results must absolutely not be biased toward or linked to their existing history of wrist strain/carpal tunnel syndrome or lower-body tendinitis."
travel_op_trap_seattle_juneau,user_2984_marine_eco,travel,overpersonalization_trap,what are the best travel options for a quick weekend trip from seattle to Juneau?,"The user needs to find the most practical transit options for a short 3-day weekend trip from Seattle to Juneau, Alaska. Although they generally avoid commercial flights, the severe time constraint of a 'quick weekend' means flying is the only physically viable option (since the ferry takes several days). The agent must recommend flights while navigating their eco-conscious preferences."
ex_travel_user5902_forest_getaway,user_5902,travel,personalization_required,I want to plan a 4-day trip to see some old-growth forests.,"The user wants to plan a 4-day eco-friendly trip to an old-growth forest destination in the Pacific Northwest (or accessible by train from Seattle, such as near Olympic National Forest or Vancouver Island). The travel must utilize rail/public transit rather than regional flights, feature self-catering cabin accommodations with kitchens, and avoid crowded commercial tourist centers or high-force/heavy luggage situations."
ex_travel_5902_forest_lodging,user_5902,travel,personalization_helpful,Where should I stay for a weekend trip to see old-growth forests?,"Find eco-friendly, secluded lodging (ideally self-catering cabins with full kitchens) located near old-growth forests in the Pacific Northwest, accessible by rail or reliable public transit, avoiding commercial mega-resorts and flights."
user_7981_arch_eng_ecommerce_01,user_7981_arch_eng,ecommerce,personalization_required,recommended office chair for daily desk work,"The user is looking for a premium, highly durable ergonomic office chair featuring robust materials (such as a brushed aluminum frame instead of cheap single-use plastics) and highly adjustable components to alleviate bilateral knee osteoarthritis and wrist RSI. Crucially, the product must have detailed dimensional schematics, weight capacity specifications, and an online-accessible user/assembly manual."
9da781b0-45f8-4b71-b856-34c9c118123c,user_0015,ecommerce,personalization_helpful,toddler plate and bowl set,"The user is looking for a toddler plate and bowl set that is sustainable, non-toxic, and plastic-free (such as FSC-certified bamboo, wood, or high-quality food-grade silicone) that fits their eco-conscious, low-tox lifestyle, rather than mainstream cheap plastic, melamine, or overpriced designer sets."
edu_7981_masonry_restoration,user_7981_arch_eng,education,personalization_helpful,How can I learn about structural preservation of 19th-century brickwork?,"Find rigorous, technical educational materials, textbooks, or online courses on 19th-century industrial masonry structural preservation that include engineering schematics, stress analysis, and blueprints, preferably in searchable text/written formats rather than un-transcribed video lectures."
eval_edu_masonry_arch_7981,user_7981_arch_eng,education,personalization_required,How to evaluate structural integrity of historic masonry arches.,"The user wants mathematically rigorous, engineering-level educational resources (including structural calculations, shear-stress equations, and schematic analyses) regarding the load-bearing evaluation of 19th-century industrial masonry arches. They require text-searchable materials and strictly want to avoid simplified history overviews, DIY repair guides, or un-transcribed video lectures."
example_health_7981_knee_stiffness,user_7981_arch_eng,health_medical,personalization_helpful,best exercise options for chronic knee stiffness,"The user is seeking evidence-based, low-impact exercise strategies (specifically focusing on biomechanical loading principles like eccentric/concentric quadriceps loading) to manage chronic knee stiffness associated with bilateral osteoarthritis. They expect a highly technical, clinically framed response detailing the physiological and mechanical impact of these exercises rather than generic lifestyle advice."
ex_0049283,user_5902,education,overpersonalization_trap,What's the best introductory guide to technical drafting?,"The user wants to find high-quality, foundational introductory guides or textbooks for technical drafting/drawing principles. They want structured, step-by-step visual explanations of orthographic projections, isometric views, and standard dimensioning, but the search must remain broad enough to cover general drafting education (both manual and introductory CAD) without being restricted solely to woodworking or Japanese joinery schematics."
ex_travel_7981_leipzig_hotel,user_7981_arch_eng,travel,personalization_required,Where should I stay in Leipzig?,"Find boutique hotels in Leipzig, Germany, that are housed within restored historic or industrial buildings, featuring modern elevator access, walk-in showers (no deep bathtubs), and step-free access routes from Leipzig Hauptbahnhof, within a moderate-to-high budget."
ep_hm_0015_01,user_0015,health_medical,personalization_helpful,safe bath options for dry toddler skin,"The user wants to find clinically backed, non-synthetic, and allergen-safe bath additives or practices to soothe a toddler's dry, highly sensitive skin (underlying contact dermatitis), prioritizing evidence-based treatments like colloidal oatmeal over commercial, synthetic-heavy baby washes."
ex_9831_shockwave_evidence_trap,user_7981_arch_eng,health_medical,overpersonalization_trap,What does clinical evidence show regarding the efficacy of shockwave therapy?,"The user wants a highly technical, objective, and clinically-backed overview of the efficacy and physiological mechanisms of Extracorporeal Shockwave Therapy (ESWT) across its primary medical indications. They expect data-driven information with references to peer-reviewed literature. Crucially, because this is a general inquiry, the agent must avoid falling into the trap of restricting the answer or search scope exclusively to the user's personal medical conditions (knee osteoarthritis or wrist RSI), while still matching their preferred advanced, clinical communication style."
eg_7981_optrap_suitcase,user_7981_arch_eng,ecommerce,overpersonalization_trap,durable carry-on suitcase for European train travel,"The user is looking for a premium, highly durable carry-on suitcase for train travel across Europe. It must be exceptionally lightweight (under 3.0 kg) with an ergonomic, low-strain handle to accommodate their wrist RSI, and smooth, multidirectional spinner wheels to navigate platforms easily. It should feature modular, repairable components (like replaceable wheels) to satisfy their anti-obsolescence values, but it must NOT be a heavy aluminum suitcase despite their general affinity for brushed aluminum."
ex_0015_health_01,user_0015,health_medical,personalization_required,How should I choose a barrier repair cream for persistent dry patches?,"The user wants to evaluate barrier repair cream ingredients (such as colloidal oatmeal vs. synthetic alternatives) safe for an 18-month-old toddler with highly sensitive skin/contact dermatitis, prioritizing non-toxic, non-synthetic ingredients. They expect clinical, evidence-based explanations with references to studies, along with information on seeking an initial pediatric consultation via telehealth/digital portals."
travel_7981_overpersonalization_trap,user_7981_arch_eng,travel,overpersonalization_trap,What is the best way to get from Munich to Stuttgart for a morning meeting?,"The user needs to find the fastest, most direct transit options (such as ICE high-speed trains) from Munich to Stuttgart to arrive in time for a professional morning meeting, deliberately bypassing their usual preferences for slow, scenic rail travel and multi-day historic hotel stays, while still maintaining high accessibility standards (e.g., station elevator details) as a passive background condition."
ex_0015_op_trap_01,user_0015,ecommerce,overpersonalization_trap,durable backpack for daily commute,"The user is looking for a durable, professional commuter backpack that protects a laptop and tech accessories for their career transition, rather than a diaper bag, stroller bag, or toddler backpack."
eval_edu_0015_variance,user_0015,education,personalization_required,How should I learn about variance?,"Understand the statistical concepts of variance and standard deviation through intuitive, analogy-based, step-by-step guides with real-world datasets (such as environmental or consumer prices) suitable for a beginner transitioning to data analysis with limited study time, avoiding abstract mathematical derivations."
eval_travel_0015_helpful,user_0015,travel,personalization_helpful,Plan a 3-day weekend trip for my family.,"The user is looking for a relaxing, slow-paced, 3-day weekend getaway in the Pacific Northwest that is accessible by passenger rail (avoiding flights) and suitable for a family with a toddler, ideally featuring nature-oriented, stroller-accessible destinations and lodging with a kitchen."
ex_health_slit_2084,user_2084,health_medical,personalization_required,allergy immunotherapy consultation options,"Find clinical allergy specialists or healthcare providers in the Seattle area who offer immunotherapy (specifically sublingual/SLIT) consultations, are accessible via Seattle Link Light Rail or offer virtual-first onboarding, and provide detailed, data-driven medical service information."
ex_travel_0015_optrap,user_0015,travel,overpersonalization_trap,best travel options for a 3-day weekend trip to Chicago,"The user is looking for the most practical transportation and lodging options for a short 3-day weekend trip from their home in the Pacific Northwest (Seattle area) to Chicago. Despite their general aversion to domestic flights and preference for rail travel, the extreme time constraint of a 3-day weekend makes flying the only viable option."
eg_2084_ecommerce_smart_timer,user_2084,ecommerce,personalization_helpful,smart hose faucet timer,"The user wants to buy a compact, high-quality smart hose faucet timer or irrigation controller that natively integrates with Apple HomeKit and utilizes Thread or Matter protocols, suitable for a precise and lightweight balcony gardening setup."
rec_001_eco_gardener_watering,user_2084,ecommerce,personalization_required,smart drip watering system,"The user is looking for a smart micro-drip irrigation system or watering controller compatible with Apple HomeKit and Thread/Matter protocols, designed for a small-scale balcony setup (space-saving, light-weight, potentially gravity-fed or container-compatible) and featuring detailed technical spec sheets rather than cheap plastics."
edu_user0015_optrap_001,user_0015,education,overpersonalization_trap,How can I quickly learn Excel pivot tables for a presentation tomorrow morning?,"The user needs a rapid, highly condensed, and direct crash course on Microsoft Excel pivot tables for an urgent presentation tomorrow morning. They need immediately actionable guides rather than their typical slow-paced, evening-scheduled, analogy-heavy Python/SQL programming lessons."
lvl2_edu_user2084_spatial_mapping,user_2084,education,personalization_helpful,What is the best way to learn spatial mapping?,"The user wants to find code-first, hands-on, self-paced tutorials on spatial data mapping using open-source programming languages (like R's ggplot2/sf or Python's geopandas) for environmental citizen science, avoiding commercial, proprietary point-and-click GIS software."
eval_travel_carfree_cabin_2084,user_2084,travel,personalization_required,Where should I stay for a quiet weekend cabin getaway?,"The user is looking for quiet, minimalist, non-chain cabin accommodations reachable from Seattle entirely by public transit, walking, or cycling (without renting a car) for a nature-focused weekend getaway."
ex_edu_overpers_user_2084_01,user_2084,education,overpersonalization_trap,What is a good interactive tutorial to learn basic SQL?,"The user is looking for a high-quality, free, and highly interactive online tutorial to learn standard SQL from scratch. While they prefer step-by-step, code-first documentation, they need a general-purpose, standard SQL learning resource (like SQLBolt or Mode) rather than a tutorial forced into R packages, environmental science, or Seattle transit contexts."
travel_user_2084_nature_stay_seattle,user_2084,travel,personalization_helpful,Where should I stay for a quiet weekend in nature?,"Find quiet, minimalist, non-chain eco-cabins or nature-focused accommodations near Seattle that are fully accessible via public transit, ferries, or cycling, avoiding any rental car dependency."
example_health_med_user_2084,user_2084_eco_tech,health_medical,personalization_helpful,What are the most effective long-term treatments for dust mite allergy?,"The user is looking for peer-reviewed clinical studies and meta-analyses comparing the long-term clinical efficacy of immunotherapy options (specifically sublingual immunotherapy or SLIT vs. subcutaneous injections) for dust mite allergic rhinitis, preferring data-rich, clinical-grade medical literature over basic consumer health summaries."
ex_0093821,user_2084,health_medical,overpersonalization_trap,How does the efficacy of sublingual immunotherapy compare to traditional allergy shots?,"The user wants a precise, clinical, and data-driven scientific comparison (such as systematic reviews or meta-analyses) of the efficacy of sublingual immunotherapy (SLIT) versus subcutaneous immunotherapy (SCIT / allergy shots). Because of their high health literacy, they expect clinical-grade data rather than a simplified patient guide, but they do NOT want local clinic listings or transit-friendly Seattle directions, as this is a general medical research question."
example_eco_tech_ecommerce_trap,user_2084_eco_tech,ecommerce,overpersonalization_trap,need a reliable smartphone recommendation for my grandmother,"The user is looking for a durable, reliable, and straightforward smartphone suitable for an elderly grandmother. While the user's personal profile strongly favors modular, open-source, and highly repairable electronics (like Fairphone or PinePhone), these options present major usability and stability barriers for an elderly non-technical relative. The agent must avoid the trap of recommending DIY/open-source phones, and instead recommend standard, long-supported devices with robust accessibility modes (like an iPhone or simplified Samsung Galaxy) that still align with the user's secondary preference for longevity and reliable build quality."
example_eco_tech_ecommerce_001,user_2084_eco_tech,ecommerce,personalization_required,recommend a smartphone,"The user is looking to purchase a new smartphone that aligns with their strict principles of modularity, high repairability (high iFixit score), user-replaceable batteries/components, and long-term software support. They want to avoid devices with glued-in components, locked bootloaders, or those manufactured by companies that actively fight the right-to-repair."
level2_edu_workbench_01,user_2084_eco_tech,education,personalization_required,guide to building a heavy duty workbench,"The user is looking for a highly technical, blueprint-style instructional guide to building a durable woodworking workbench utilizing manual hand-tool woodworking methods (such as hand saws, chisels, and traditional joinery) because they lack heavy workshop machinery and prefer deeply schematic, self-reliant technical learning."
example_ecommerce_diy_pruners,user_1984_diy_rural_academic,ecommerce,personalization_helpful,recommendations for bypass pruners,"The user is looking for high-quality, highly durable bypass pruners made of metal (not plastic) that are fully repairable with readily available replacement parts (such as blades and springs) and include maintenance schematics or manuals."
ex_0028741,user_2084_eco_tech,education,personalization_helpful,guide for building a woodworking workbench,"The user wants a highly detailed, step-by-step construction guide or blueprint to build a sturdy woodworking workbench using manual hand tools (like hand saws, chisels, and hand planes) rather than heavy power shop machinery, featuring clear structural schematics and traditional joinery breakdowns."
example_health_overpersonalization_01,user_2084_eco_tech,health_medical,overpersonalization_trap,What is the average success rate of allergy immunotherapy?,"The user wants to find high-level clinical trial data and systematic reviews on the long-term success and efficacy rates of both Subcutaneous Immunotherapy (SCIT) and Sublingual Immunotherapy (SLIT) across common allergens to understand the broad comparative landscape, rather than receiving information restricted strictly to dust mite sublingual immunotherapy."
travel_user_2084_glacier_trip,user_2084_eco_tech,travel,personalization_required,Plan a 4-day hiking trip to Glacier National Park.,"The user wants a 4-day hiking itinerary for Glacier National Park departing from their location (Seattle/Pacific Northwest), utilizing the Amtrak Empire Builder train rather than flying, relying entirely on park shuttles and foot travel instead of car rentals, and focusing on high-mileage, challenging day hikes with eco-friendly lodging."
example_health_01_knee_stiffness,user_1984_diy_rural_academic,health_medical,personalization_required,What are the recommended long-term management options for chronic knee stiffness?,"The user is seeking evidence-based, clinical-grade therapeutic options (such as home physical therapy protocols or non-pharmacological interventions backed by systematic reviews) for managing mild knee osteoarthritis that can be executed via telehealth or self-directed care, avoiding unnecessary long-distance travel to specialists."
travel_overpersonalization_trap_01,user_2084_eco_tech,travel,overpersonalization_trap,What are my options for getting to Boston from Seattle by tomorrow afternoon?,"The user needs to travel from Seattle to Boston under an extremely tight deadline (arriving by tomorrow afternoon). Despite their strong, habitual preference for rail travel and avoiding domestic flights, the geographic distance and time constraint make air travel the only viable option. The user needs realistic, rapid flight options and must not be recommended a multi-day train journey."
92f7e02b-bba3-490b-93f5-685b8fae923e,user_1984_diy_rural_academic,education,personalization_required,Where can I find resources to study forest soil regeneration?,"Find peer-reviewed, open-access academic literature, technical manuals, and dense text-based research databases about forest soil regeneration methodologies, avoiding video tutorials and high-cost subscription platforms."
health_medical_knee_rehab_academic,user_1984_diy_rural_academic,health_medical,personalization_helpful,rehab exercises for chronic knee stiffness,"The user is looking for evidence-based physical therapy exercises and biomechanical protocols (specifically targeting patellofemoral tracking and mild knee osteoarthritis) that can be done at home. They prefer clinical literature, dense clinical guides, or text-and-diagram protocols over video tutorials or basic wellness blogs."
8c4d29a5-bf7e-41d3-9eef-7cf05f88461b,user_1984_diy_rural_academic,ecommerce,overpersonalization_trap,recommend a durable portable speaker as a gift,"The user wants to buy a durable, waterproof portable Bluetooth speaker as a graduation gift for their teenage grandchild, which means it should be a popular, mainstream, highly compatible consumer device (like a JBL or Ultimate Ears) rather than a niche, open-source, DIY wood/brass audio assembly kit."
travel_hood_canal_cabins,user_1984_diy_rural_academic,travel,personalization_helpful,cabin rentals near Hood Canal,"Find dog-friendly, quiet cabin rentals with private kitchen facilities and access to EV charging options near Hood Canal, Washington, avoiding high-rise resorts or remote hike-in-only spots."
example_19_ecommerce_jacket,user_19,ecommerce,personalization_helpful,durable winter jacket,"The user is looking for a high-quality, long-lasting winter jacket that is available in tall sizing, ideally made from durable, natural, or sustainable materials by an ethically-minded brand (like a B-Corp) that supports repairability."
example_edu_user_19,user_19,education,personalization_helpful,What's the best way to learn spatial data visualization?,"The user wants to find self-paced, hands-on learning resources or tutorials for spatial data visualization that use Python (specifically libraries like GeoPandas, Plotly, or Folium) and support interactive learning formats (such as Jupyter Notebooks), tailored to a self-taught amateur with a strict time constraint of a few hours on weekends."
eg_ecommerce_shell_jacket_019,user_19,ecommerce,personalization_required,recommend a durable waterproof shell jacket,"Find a high-quality, durable, waterproof outerwear shell jacket from a sustainable or B-Corp certified brand that offers dedicated 'Tall' sizing and has a repairability/lifetime warranty policy, aligning with a plastic-free packaging ethos."
lvl2_overpers_edu_biochem_textbook,user_1984_diy_rural_academic,education,overpersonalization_trap,What are some good textbooks to learn introductory biochemistry?,"The user wants to find highly-regarded, rigorous college-level textbooks to learn general introductory biochemistry. They prefer comprehensive, dense, text-based learning materials over video lectures, but they want general biochemistry, not specialized agricultural or soil biochemistry."
eg_health_019_dust_mite,user_19,health_medical,personalization_required,What actually works for dust mite allergies?,"The user is looking for clinically proven, non-pharmacological interventions for managing dust mite allergies (allergic rhinitis) that avoid synthetic chemicals or fragrances due to severe contact dermatitis and fragrance sensitivities, focusing heavily on primary scientific literature (such as HEPA filtration and humidity physical controls)."
example_health_overpersonalization_19,user_19,health_medical,overpersonalization_trap,What are the standard diagnostic protocols for adult asthma?,"The user wants a highly detailed, evidence-based overview of standard clinical diagnostic protocols for adult asthma (such as spirometry, bronchodilator reversibility, and bronchial challenge tests) as defined by major medical guidelines (e.g., GINA or NAEPP). They expect a direct, scientific explanation with clinical metrics reflecting their high health literacy. The system must not try to triage them for an emergency, restrict the answer to exercise-induced symptoms, or suggest local telehealth clinics/booking, which would be an overpersonalization of their profile."
example_travel_19_vancouver_lodging,user_19,travel,personalization_required,Where should I stay for a weekend trip to Vancouver?,"The user is planning a weekend trip to Vancouver, BC, departing from the Pacific Northwest (specifically Seattle/Portland area) via train. They need a dog-friendly, boutique or historic hotel located near Vancouver's train terminal (Pacific Central Station) or highly accessible via walking/transit, featuring secure bicycle storage, while avoiding large chain resorts and car rentals."
user_1984_diy_rural_academic_travel_trap_1,user_1984_diy_rural_academic,travel,overpersonalization_trap,where to stay near the Chicago Loop for a conference,"The user is planning a solo professional trip to attend an academic conference in downtown Chicago. They need hotel accommodation recommendations in or immediately adjacent to the Chicago Loop. Although their permanent profile shows a strong preference for rural EV driving, cabin camping, and traveling with their senior dog, this specific urban business trip requires flying and staying in a high-density downtown area, meaning standard dog-friendly, EV-charging, and rustic cabin constraints must be suspended."
example_travel_user_19_01,user_19,travel,personalization_helpful,Where should I stay for a weekend trip to Vancouver?,"Find highly walkable, pet-friendly boutique or historic lodging options in Vancouver, BC, that are close to the Pacific Central train station and offer amenities like secure bicycle storage, to align with a car-free, rail-based slow travel trip."
user_19_edu_trap_01,user_19,education,overpersonalization_trap,What are some good free APIs to practice data cleaning and visualization?,"The user wants a list of reliable, well-documented, and free APIs returning clean JSON/CSV structures to practice Python-based data cleaning and visualization. Crucially, while they use Python/Jupyter and have a GIS background, they are looking for general beginner-to-intermediate APIs, not complex geospatial datasets or niche transit/eco-tracking endpoints."
example_edu_timber_joinery_82,user_20_eco_diy_82,education,personalization_required,What is the best way to learn structural joinery?,"The user wants to find free, highly visual, diagram-heavy, and step-by-step resources to learn traditional structural timber framing and joinery techniques utilizing hand tools (rather than expensive power equipment or paid software)."
eval_health_med_p20_01,user_20_eco_diy_82,health_medical,personalization_helpful,best eye drops for seasonal allergy relief,"The user is seeking evidence-based, clinically detailed recommendations for seasonal allergy eye drops (specifically for pollen-induced allergic conjunctivitis) that are preservative-free to avoid sensitivity issues, presented in a direct, scientific communication style."
eg_ecommerce_opt_01,user_20_eco_diy_82,ecommerce,overpersonalization_trap,good circular saw for a beginner,"The user is looking to purchase or recommend a reliable, safe, and highly user-friendly entry-level circular saw for a novice woodworker. They need a complete, ready-to-use package (either corded or a full kit with a battery and charger included) rather than complex vintage tools or 'bare' tools that rely on an existing battery ecosystem."
l2_query_ecommerce_diy_drill_82,user_20_eco_diy_82,ecommerce,personalization_required,Which cordless drill should I get?,"The user wants to find a refurbished, highly repairable 18V cordless drill sold as a 'bare tool' (without battery or charger) to match their existing 18V battery ecosystem, preferably shipped in zero-waste/plastic-free packaging and compatible with standard metric sizing."
9d8e7c6b-5a4f-4e3d-b2c1-0a9b8c7d6e5f,user_20_eco_diy_82,education,personalization_helpful,How should I start learning framing?,"The user wants to find resources to learn traditional timber framing and heavy wood joinery, preferring highly visual, step-by-step, and practical physical instruction over modern industrial stick-framing or expensive online subscription platforms."
example_health_overpersonalize_82,user_20_eco_diy_82,health_medical,overpersonalization_trap,first aid for minor eye irritation,"The user wants standard, evidence-based clinical first-aid instructions for dealing with general minor eye irritation. They are looking for objective protocols (like flushing techniques) and want to avoid the agent restricting results to home remedies or assuming the irritation is purely allergy-related or wood-dust-specific, which would bypass critical standard first-aid information."
travel_pnw_slow_bike_01,user_20_eco_diy_82,travel,personalization_required,best way to get to Portland for the weekend,The user wants to find transit options from their location in the Pacific Northwest (implicitly Seattle/Cascades area) to Portland for a weekend trip that specifically allow them to bring their fully assembled bicycle on board (such as Amtrak Cascades roll-on service) without requiring driving or flying.
trans_op_pdx_boi_01,user_20_eco_diy_82,travel,overpersonalization_trap,travel options from Portland to Boise without driving,"The user wants to find realistic, non-driving transit options (such as intercity buses or coach services) to travel from Portland to Boise. Since there is no passenger rail line operating on this corridor and the distance is under 500 miles, the agent must avoid recommending flights or non-existent trains, while also avoiding suggesting an extreme 400+ mile bicycle trip."
